Date/Time,avg,max,min
2024-08-22 00:00:00,25.69,31.81,20.38
2024-08-21 00:00:00,26.65,35.55,17.71
2024-08-20 00:00:00,25.92,31.49,22.39
2024-08-19 00:00:00,29.01,36.16,22.08
2024-08-18 00:00:00,29.67,38.35,22.7
2024-08-17 00:00:00,30.36,39.12,22.41
2024-08-16 00:00:00,30.24,38.51,22.36
2024-08-15 00:00:00,31.49,39.43,24.33
2024-08-14 00:00:00,31.05,39.86,22.02
2024-08-13 00:00:00,30.18,40.7,19.24
2024-08-12 00:00:00,28.83,38.67,19.74
2024-08-11 00:00:00,27.58,36.01,19.63
2024-08-10 00:00:00,25.99,33.83,17.64
2024-08-09 00:00:00,27.12,33.11,22.32
2024-08-08 00:00:00,25.56,35.08,14.93
2024-08-07 00:00:00,23.33,32.79,13.94
2024-08-06 00:00:00,23.67,29.23,18
2024-08-05 00:00:00,23.88,31.55,15.97
2024-08-04 00:00:00,21.99,29.37,14.31
2024-08-03 00:00:00,24.55,31,19.9
2024-08-02 00:00:00,25.07,30.97,18.56
2024-08-01 00:00:00,25.49,37.43,14.05
2024-07-31 00:00:00,23.42,33.27,13.99
2024-07-30 00:00:00,22.67,30.44,14.6
2024-07-29 00:00:00,25.12,30.23,19.31
2024-07-28 00:00:00,27.28,38.1,16.39
2024-07-27 00:00:00,24.37,33.64,14.98
2024-07-26 00:00:00,22.92,30.18,15.91
2024-07-25 00:00:00,22.88,28.94,16.81
2024-07-24 00:00:00,24.65,29.58,20.47
2024-07-23 00:00:00,26.06,32.56,20.82
2024-07-22 00:00:00,26.21,33.45,19.94
2024-07-21 00:00:00,23.91,29.57,19.91
2024-07-20 00:00:00,25.62,34.15,20.68
2024-07-19 00:00:00,29.39,37.03,22.69
2024-07-18 00:00:00,29.28,35.45,23.19
2024-07-17 00:00:00,31.32,40.27,23.99
2024-07-16 00:00:00,30.82,40.14,21.18
2024-07-15 00:00:00,30.68,38.59,22.53
2024-07-14 00:00:00,30.63,40.78,21.29
2024-07-13 00:00:00,30.07,40.9,21.31
2024-07-12 00:00:00,29.73,39.35,20.88
