Date/Time,avg,max,min
2024-08-23 00:00:00,44.08,66.12,17.02
2024-08-22 00:00:00,47.38,67.52,23.55
2024-08-21 00:00:00,47.35,75.78,20.44
2024-08-20 00:00:00,50.3,65.76,31.04
2024-08-19 00:00:00,36.93,60.13,18.19
2024-08-18 00:00:00,39.38,60.84,21.64
2024-08-17 00:00:00,37.82,62.95,15.03
2024-08-16 00:00:00,42.7,70.98,18.56
2024-08-15 00:00:00,37.44,56.56,17.43
2024-08-14 00:00:00,37.18,62.64,18.09
2024-08-13 00:00:00,39.14,68.8,16.17
2024-08-12 00:00:00,44.72,69.92,20.33
2024-08-11 00:00:00,45.77,70.6,21.92
2024-08-10 00:00:00,44.3,70.18,23.53
2024-08-09 00:00:00,47.27,69.41,24.42
2024-08-08 00:00:00,44.61,77.06,20.6
2024-08-07 00:00:00,46.8,76.53,22.15
2024-08-06 00:00:00,53.45,93.44,27.58
2024-08-05 00:00:00,54.19,87.26,26.13
2024-08-04 00:00:00,54.76,96.91,23.85
2024-08-03 00:00:00,57.69,87.36,24.39
2024-08-02 00:00:00,52.08,68.41,39.58
2024-08-01 00:00:00,40.24,75.89,11.8
2024-07-31 00:00:00,41.86,76.74,12.63
2024-07-30 00:00:00,43.23,70.51,20.13
2024-07-29 00:00:00,39.5,59.84,20.43
2024-07-28 00:00:00,45.4,83.82,15.27
2024-07-27 00:00:00,49.71,89.88,18.86
2024-07-26 00:00:00,53.81,85.84,26.58
2024-07-25 00:00:00,54.86,80.38,29.02
2024-07-24 00:00:00,71.75,100,37.53
2024-07-23 00:00:00,70.42,100,37.98
2024-07-22 00:00:00,70.54,100,35.09
2024-07-21 00:00:00,82.5,100,47.08
2024-07-20 00:00:00,67.15,100,38.08
2024-07-19 00:00:00,54.45,85.55,28
2024-07-18 00:00:00,58.13,81.46,35.71
2024-07-17 00:00:00,47.38,68.93,20.31
2024-07-16 00:00:00,46.54,84.3,13.65
2024-07-15 00:00:00,53.7,77.1,28.31
2024-07-14 00:00:00,45.22,71.35,16.85
2024-07-13 00:00:00,41.84,63.54,17.28
2024-07-12 00:00:00,48.5,79.57,21.03
2024-07-11 00:00:00,54.57,92.47,24.68
2024-07-10 00:00:00,54.15,93.49,21.46
2024-07-09 00:00:00,53.3,88.14,24.04
2024-07-08 00:00:00,54.14,81.78,22.63
2024-07-07 00:00:00,55.69,80.45,30.65
2024-07-06 00:00:00,63.56,100,31.02
2024-07-05 00:00:00,58.9,91.57,26.52
2024-07-04 00:00:00,67.62,95.96,41.67
2024-07-03 00:00:00,71.87,100,36.33
2024-07-02 00:00:00,100,100,100
2024-07-01 00:00:00,56.24,100,29.73
2024-06-30 00:00:00,67.9,100,30.75
2024-06-29 00:00:00,72.25,100,36.72
2024-06-28 00:00:00,75.98,100,42.27
2024-06-27 00:00:00,79.03,100,54.23
2024-06-26 00:00:00,86.53,100,50.66
2024-06-25 00:00:00,59.09,96.78,35
2024-06-24 00:00:00,64.81,100,30.84
2024-06-23 00:00:00,71.57,100,44.32
2024-06-22 00:00:00,60.3,90.07,27.43
2024-06-21 00:00:00,60.05,95.81,31.75
2024-06-20 00:00:00,56.8,88.63,30.27
2024-06-19 00:00:00,55.23,95.27,26.12
2024-06-18 00:00:00,58.47,94.98,26.02
2024-06-17 00:00:00,61.64,99.51,31.91
2024-06-16 00:00:00,57.57,98.89,26.36
2024-06-15 00:00:00,57.87,100,24.92
2024-06-14 00:00:00,70.75,100,38.37
2024-06-13 00:00:00,90.14,100,58.19
2024-06-12 00:00:00,83.03,100,52.74
2024-06-11 00:00:00,73.35,100,54.45
2024-06-10 00:00:00,57.68,88.72,19.76
2024-06-09 00:00:00,58.36,85.72,37.45
2024-06-08 00:00:00,57.98,98.51,26.5
2024-06-07 00:00:00,57.61,100,23.32
2024-06-06 00:00:00,65,100,28.84
2024-06-05 00:00:00,72.43,100,40.42
2024-06-04 00:00:00,71,100,39.6
2024-06-03 00:00:00,92.63,100,64.56
2024-06-02 00:00:00,47.88,76.73,25.79
2024-06-01 00:00:00,58.37,90.37,34.06
2024-05-31 00:00:00,74.61,100,39.6
2024-05-30 00:00:00,75.59,100,37.87
2024-05-29 00:00:00,65.92,100,37.69
2024-05-28 00:00:00,60.23,99.79,27.49
2024-05-27 00:00:00,70.56,100,28.51
2024-05-26 00:00:00,55.17,92.4,22.01
2024-05-25 00:00:00,67.37,100,29.02
2024-05-24 00:00:00,84.51,100,46.9
2024-05-23 00:00:00,92.87,100,72.81
2024-05-22 00:00:00,79.92,100,57.87
2024-05-21 00:00:00,63.28,98.49,41.17
2024-05-20 00:00:00,68.6,100,48.26
2024-05-19 00:00:00,60.55,76.75,38.63
2024-05-18 00:00:00,54.91,91.41,26.76
2024-05-17 00:00:00,57.25,79.05,40.68
2024-05-16 00:00:00,59.41,95.67,41.22
2024-05-15 00:00:00,63.89,100,43.38
2024-05-14 00:00:00,61.92,90.74,38.92
2024-05-13 00:00:00,65.73,100,22.8
2024-05-12 00:00:00,73.15,100,47.32
2024-05-11 00:00:00,56.46,100,22.65
2024-05-10 00:00:00,52.76,69.48,32.76
2024-05-09 00:00:00,76.61,100,52.81
2024-05-08 00:00:00,81.37,100,50.8
2024-05-07 00:00:00,71.48,100,32.14
2024-05-06 00:00:00,64.81,100,29.76
2024-05-05 00:00:00,73.52,100,31.33
2024-05-04 00:00:00,85.48,100,55.62
2024-05-03 00:00:00,99.78,100,94.2
2024-05-02 00:00:00,57.28,100,32.2
2024-05-01 00:00:00,49.99,67.7,30.61
2024-04-30 00:00:00,50.86,74.89,32.94
2024-04-29 00:00:00,48.23,82.19,19.2
2024-04-28 00:00:00,58.12,98.53,23.92
2024-04-27 00:00:00,57.99,97.4,24.1
2024-04-26 00:00:00,68.79,100,27.25
2024-04-25 00:00:00,78.43,100,43.95
2024-04-24 00:00:00,91.46,100,49.37
2024-04-23 00:00:00,81.54,100,55.54
2024-04-22 00:00:00,70.48,100,30.97
2024-04-21 00:00:00,72.73,100,47.33
2024-04-20 00:00:00,57.71,100,15.63
2024-04-19 00:00:00,69.24,100,29.13
2024-04-18 00:00:00,94.93,100,70.74
2024-04-17 00:00:00,99.64,100,92.36
2024-04-16 00:00:00,52.28,97.84,24.2
2024-04-15 00:00:00,45.33,85.9,14.02
2024-04-14 00:00:00,51.05,81.41,20.18
2024-04-13 00:00:00,57.39,93.02,27.94
2024-04-12 00:00:00,63.75,94.54,39.23
2024-04-11 00:00:00,64.43,84.64,45.31
2024-04-10 00:00:00,37.48,64.72,14.52
2024-04-09 00:00:00,41.14,66.97,18.95
2024-04-08 00:00:00,47.12,75.51,21.51
2024-04-07 00:00:00,55.05,87.6,25.8
2024-04-06 00:00:00,54.67,88.76,28.42
2024-04-05 00:00:00,54.94,85.89,28.49
2024-04-04 00:00:00,51.43,69.19,30.61
2024-04-03 00:00:00,59.54,100,26.2
2024-04-02 00:00:00,54.22,100,20.99
2024-04-01 00:00:00,27.54,51.51,12.76
2024-03-31 00:00:00,33.41,57.93,13.93
2024-03-30 00:00:00,44.03,77.99,18.55
2024-03-29 00:00:00,53.82,78.58,25.45
2024-03-28 00:00:00,57.27,100,25.1
2024-03-27 00:00:00,73.1,100,55.36
2024-03-26 00:00:00,64.25,100,23.28
2024-03-25 00:00:00,78.79,100,42.68
2024-03-24 00:00:00,84.81,100,34.75
2024-03-23 00:00:00,46.25,77.99,19.48
2024-03-22 00:00:00,51.41,78.45,25.41
2024-03-21 00:00:00,54.64,86.89,25.07
2024-03-20 00:00:00,54.27,76.16,29.88
2024-03-19 00:00:00,56.04,80.89,34.71
2024-03-18 00:00:00,64.21,100,37.72
2024-03-17 00:00:00,70.71,100,35.88
2024-03-16 00:00:00,69.38,100,35.28
2024-03-15 00:00:00,70.82,100,30.85
2024-03-14 00:00:00,86.89,100,59.45
2024-03-13 00:00:00,91.57,100,68.2
2024-03-12 00:00:00,72.1,100,39.03
2024-03-11 00:00:00,64.57,82.39,48.17
2024-03-10 00:00:00,68.93,93.95,47
2024-03-09 00:00:00,76.72,100,47.09
2024-03-08 00:00:00,80.68,97.38,58.81
2024-03-07 00:00:00,92.57,100,85.11
2024-03-06 00:00:00,90.51,100,59.34
2024-03-05 00:00:00,63.59,90.6,40.51
2024-03-04 00:00:00,67.72,95.47,46.78
2024-03-03 00:00:00,70.27,97.34,35.78
2024-03-02 00:00:00,77.12,96.57,56.96
2024-03-01 00:00:00,66.73,80.57,50.83
2024-02-29 00:00:00,63.06,81.71,48.06
2024-02-28 00:00:00,56.69,67.41,41.77
2024-02-27 00:00:00,60.86,79.34,43.04
2024-02-26 00:00:00,65.55,93.09,31.4
2024-02-25 00:00:00,75.48,100,38.79
2024-02-24 00:00:00,69.89,100,46.57
2024-02-23 00:00:00,52.3,73.98,37.16
2024-02-22 00:00:00,74.15,100,35.86
2024-02-21 00:00:00,77.62,99.98,49.59
2024-02-20 00:00:00,82.82,100,49.03
2024-02-19 00:00:00,78.23,100,39.99
2024-02-18 00:00:00,75,94.53,56.26
2024-02-17 00:00:00,64.64,93.23,30.3
2024-02-16 00:00:00,66.63,95.7,31.74
2024-02-15 00:00:00,73.97,99.58,44.63
2024-02-14 00:00:00,68.72,87.62,43.4
2024-02-13 00:00:00,85.69,98.78,70.14
2024-02-12 00:00:00,82.86,93.88,66.24
2024-02-11 00:00:00,44.97,68.6,34.62
2024-02-10 00:00:00,54.36,79.33,33.93
2024-02-09 00:00:00,70.73,97.08,38.15
2024-02-08 00:00:00,73.44,90.57,35.56
2024-02-07 00:00:00,73.12,97.05,41.69
2024-02-06 00:00:00,70.64,97.73,34.23
2024-02-05 00:00:00,76.55,97.35,44.01
2024-02-04 00:00:00,70.72,97.37,48.65
2024-02-03 00:00:00,77.92,100,48.22
2024-02-02 00:00:00,84.81,100,61.08
2024-02-01 00:00:00,86.26,100,51.62
2024-01-31 00:00:00,85.37,100,55.47
2024-01-30 00:00:00,84.41,100,44.43
2024-01-29 00:00:00,91.55,100,66.54
2024-01-28 00:00:00,85.14,96,69.66
2024-01-27 00:00:00,77.14,100,53.98
2024-01-26 00:00:00,71.1,97.92,56.52
2024-01-25 00:00:00,71.48,100,54.81
2024-01-24 00:00:00,98.11,100,86.24
2024-01-23 00:00:00,89.92,100,77.03
2024-01-22 00:00:00,87.01,100,67.39
2024-01-21 00:00:00,91.63,100,65.88
