Date/Time,avg,min
2024-08-23 00:00:00,2.08,0.63
2024-08-22 00:00:00,1.86,0.83
2024-08-21 00:00:00,2.14,0.51
2024-08-20 00:00:00,1.73,0.92
2024-08-19 00:00:00,2.75,1.07
2024-08-18 00:00:00,2.75,1.08
2024-08-17 00:00:00,3.03,1.02
2024-08-16 00:00:00,2.79,0.79
2024-08-15 00:00:00,3.11,1.32
2024-08-14 00:00:00,3.2,1
2024-08-13 00:00:00,3.1,0.7
2024-08-12 00:00:00,2.56,0.69
2024-08-11 00:00:00,2.3,0.69
2024-08-10 00:00:00,2.12,0.6
2024-08-09 00:00:00,2.02,0.84
2024-08-08 00:00:00,2.16,0.4
2024-08-07 00:00:00,1.8,0.37
2024-08-06 00:00:00,1.48,0.13
2024-08-05 00:00:00,1.57,0.24
2024-08-04 00:00:00,1.41,0.05
2024-08-03 00:00:00,1.44,0.29
2024-08-02 00:00:00,1.6,0.78
2024-08-01 00:00:00,2.43,0.38
2024-07-31 00:00:00,2.02,0.37
2024-07-30 00:00:00,1.78,0.49
2024-07-29 00:00:00,2.02,0.97
2024-07-28 00:00:00,2.48,0.3
2024-07-27 00:00:00,1.89,0.17
2024-07-26 00:00:00,1.49,0.25
2024-07-25 00:00:00,1.38,0.37
2024-07-24 00:00:00,1,0
2024-07-23 00:00:00,1.16,0
2024-07-22 00:00:00,1.24,0
2024-07-21 00:00:00,0.65,0
2024-07-20 00:00:00,1.23,0
2024-07-19 00:00:00,2.07,0.39
2024-07-18 00:00:00,1.85,0.58
2024-07-17 00:00:00,2.63,1.07
2024-07-16 00:00:00,2.9,0.39
2024-07-15 00:00:00,2.26,0.62
2024-07-14 00:00:00,2.78,0.91
2024-07-13 00:00:00,2.88,0.95
2024-07-12 00:00:00,2.54,0.51
2024-07-11 00:00:00,2.22,0.18
2024-07-10 00:00:00,2.26,0.15
2024-07-09 00:00:00,2.22,0.28
2024-07-08 00:00:00,2.05,0.44
2024-07-07 00:00:00,1.78,0.46
2024-07-06 00:00:00,1.41,0
2024-07-05 00:00:00,1.33,0.16
2024-07-04 00:00:00,0.89,0.07
2024-07-03 00:00:00,0.77,0
2024-07-02 00:00:00,0,0
2024-07-01 00:00:00,1.93,0
2024-06-30 00:00:00,1.43,0
2024-06-29 00:00:00,1.17,0
2024-06-28 00:00:00,0.89,0
2024-06-27 00:00:00,0.66,0
2024-06-26 00:00:00,0.42,0
2024-06-25 00:00:00,1.55,0.07
2024-06-24 00:00:00,1.47,0
2024-06-23 00:00:00,1.09,0
2024-06-22 00:00:00,1.86,0.25
2024-06-21 00:00:00,1.8,0.1
2024-06-20 00:00:00,1.88,0.28
2024-06-19 00:00:00,2.11,0.09
2024-06-18 00:00:00,1.76,0.1
2024-06-17 00:00:00,1.42,0.01
2024-06-16 00:00:00,1.5,0.01
2024-06-15 00:00:00,1.31,0
2024-06-14 00:00:00,0.76,0
2024-06-13 00:00:00,0.24,0
2024-06-12 00:00:00,0.46,0
2024-06-11 00:00:00,0.81,0
2024-06-10 00:00:00,1.83,0.28
2024-06-09 00:00:00,1.55,0.31
2024-06-08 00:00:00,1.67,0.02
2024-06-07 00:00:00,1.64,0
2024-06-06 00:00:00,1.26,0
2024-06-05 00:00:00,0.85,0
2024-06-04 00:00:00,0.84,0
2024-06-03 00:00:00,0.19,0
2024-06-02 00:00:00,1.65,0.38
2024-06-01 00:00:00,1.35,0.17
2024-05-31 00:00:00,0.72,0
2024-05-30 00:00:00,0.7,0
2024-05-29 00:00:00,0.9,0
2024-05-28 00:00:00,1.1,0
2024-05-27 00:00:00,0.8,0
2024-05-26 00:00:00,1.27,0.12
2024-05-25 00:00:00,1.03,0
2024-05-24 00:00:00,0.41,0
2024-05-23 00:00:00,0.15,0
2024-05-22 00:00:00,0.5,0
2024-05-21 00:00:00,1.01,0.02
2024-05-20 00:00:00,0.84,0
2024-05-19 00:00:00,1.06,0.4
2024-05-18 00:00:00,1.23,0.11
2024-05-17 00:00:00,0.85,0.34
2024-05-16 00:00:00,0.82,0.06
2024-05-15 00:00:00,0.72,0
2024-05-14 00:00:00,0.77,0.11
2024-05-13 00:00:00,0.82,0
2024-05-12 00:00:00,0.53,0
2024-05-11 00:00:00,1.06,0
2024-05-10 00:00:00,0.96,0.45
2024-05-09 00:00:00,0.49,0
2024-05-08 00:00:00,0.47,0
2024-05-07 00:00:00,0.79,0
2024-05-06 00:00:00,0.99,0
2024-05-05 00:00:00,0.77,0
2024-05-04 00:00:00,0.32,0
2024-05-03 00:00:00,0,0
2024-05-02 00:00:00,1.02,0
2024-05-01 00:00:00,1.11,0.51
2024-04-30 00:00:00,1.06,0.32
2024-04-29 00:00:00,1.34,0.21
2024-04-28 00:00:00,1.11,0.01
2024-04-27 00:00:00,0.92,0.02
2024-04-26 00:00:00,0.59,0
2024-04-25 00:00:00,0.31,0
2024-04-24 00:00:00,0.14,0
2024-04-23 00:00:00,0.25,0
2024-04-22 00:00:00,0.44,0
2024-04-21 00:00:00,0.34,0
2024-04-20 00:00:00,0.67,0
2024-04-19 00:00:00,0.42,0
2024-04-18 00:00:00,0.06,0
2024-04-17 00:00:00,0,0
2024-04-16 00:00:00,1.16,0.02
2024-04-15 00:00:00,1.72,0.18
2024-04-14 00:00:00,1.33,0.22
2024-04-13 00:00:00,1.07,0.09
2024-04-12 00:00:00,0.88,0.07
2024-04-11 00:00:00,0.7,0.19
